,index,Age,Post HS?,Ever Married?,Gender,Hours per Week,50K?
0,38,51,1,1,Male,40,1
1,23,20,0,0,Female,30,0
2,22,58,1,1,Female,40,0
3,77,23,1,0,Female,35,0
4,80,27,0,0,Male,1,0
5,32,39,1,1,Male,40,0
6,59,24,0,0,Male,40,0
7,57,49,1,0,Female,40,0
8,35,35,0,1,Male,50,0
9,21,40,1,1,Male,40,0
10,18,39,0,1,Male,65,0
11,31,27,1,0,Male,50,0
12,20,44,1,0,Female,40,0
13,36,51,0,1,Male,40,1
14,5,28,0,1,Male,40,0
15,0,61,0,1,Male,53,0
16,34,49,1,1,Male,40,0
17,28,60,0,1,Male,40,0
18,77,23,1,0,Female,35,0
19,44,19,0,0,Female,35,0
20,47,60,0,1,Female,40,0
21,66,41,1,1,Male,40,1
22,75,40,0,1,Male,40,1
23,5,28,0,1,Male,40,0
24,36,51,0,1,Male,40,1
25,36,51,0,1,Male,40,1
26,40,30,1,1,Female,40,0
27,13,31,1,0,Male,43,0
28,84,43,1,1,Male,55,1
29,33,41,1,1,Female,25,0
30,67,36,1,0,Female,40,0
31,20,44,1,0,Female,40,0
32,10,24,0,0,Female,40,0
33,93,18,0,0,Male,40,0
34,51,17,0,0,Female,12,0
35,0,61,0,1,Male,53,0
36,62,20,1,0,Male,20,0
37,99,28,1,1,Male,70,1
38,17,24,0,0,Female,20,0
39,10,24,0,0,Female,40,0
40,13,31,1,0,Male,43,0
41,15,55,1,1,Male,40,1
42,18,39,0,1,Male,65,0
43,77,23,1,0,Female,35,0
44,53,33,0,0,Female,40,0
45,25,32,1,1,Male,50,0
46,38,51,1,1,Male,40,1
47,60,22,1,0,Male,40,0
48,15,55,1,1,Male,40,1
49,64,41,1,1,Female,40,0
50,92,35,1,1,Female,40,0
51,3,41,1,0,Male,40,0
52,98,25,0,0,Male,40,0
53,36,51,0,1,Male,40,1
54,36,51,0,1,Male,40,1
55,80,27,0,0,Male,1,0
56,0,61,0,1,Male,53,0
57,48,52,1,1,Male,40,0
58,31,27,1,0,Male,50,0
59,83,20,0,0,Male,40,0
60,60,22,1,0,Male,40,0
61,31,27,1,0,Male,50,0
62,20,44,1,0,Female,40,0
63,34,49,1,1,Male,40,0
64,75,40,0,1,Male,40,1
65,13,31,1,0,Male,43,0
66,88,32,1,1,Female,50,0
67,36,51,0,1,Male,40,1
68,3,41,1,0,Male,40,0
69,78,27,0,0,Male,99,0
70,72,35,1,0,Male,50,1
71,30,28,1,0,Male,65,1
72,62,20,1,0,Male,20,0
73,91,43,1,1,Female,50,0
74,15,55,1,1,Male,40,1
75,25,32,1,1,Male,50,0
76,42,21,1,0,Female,18,0
77,6,23,1,0,Female,40,0
78,78,27,0,0,Male,99,0
79,38,51,1,1,Male,40,1
80,35,35,0,1,Male,50,0
81,50,30,1,1,Male,40,1
82,35,35,0,1,Male,50,0
83,43,67,1,1,Male,10,1
84,68,37,0,0,Female,40,0
85,85,50,1,1,Male,80,1
86,85,50,1,1,Male,80,1
87,5,28,0,1,Male,40,0
88,28,60,0,1,Male,40,0
89,34,49,1,1,Male,40,0
